overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_0	ONWARD SAID A DISTANT VOICE
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_13	THE STYLE AND PLAN OF THE TIMAEUS DIFFER GREATLY FROM THAT OF ANY OTHER OF THE PLATONIC DIALOGUES
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_14	SUDDENLY FOR THE PURPOSE OF RESTORING PEACE AND ORDER SPRING ACCOMPANIED BY HIS WHOLE COURT MADE HIS APPEARANCE
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_15	SLANG MAKES ONE SHUDDER
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_16	SOME OF THE PENAL REGULATIONS WERE COPIED FROM THE EDICTS OF DIOCLETIAN AND THIS METHOD OF CONVERSION WAS APPLAUDED BY THE SAME BISHOPS WHO HAD FELT THE HAND OF OPPRESSION AND PLEADED FOR THE RIGHTS OF HUMANITY
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_17	YESTERDAY YOU WERE TREMBLING FOR A HEALTH THAT IS DEAR TO YOU TO DAY YOU FEAR FOR YOUR OWN TO MORROW IT WILL BE ANXIETY ABOUT MONEY THE DAY AFTER TO MORROW THE DIATRIBE OF A SLANDERER THE DAY AFTER THAT THE MISFORTUNE OF SOME FRIEND THEN THE PREVAILING WEATHER THEN SOMETHING THAT HAS BEEN BROKEN OR LOST THEN A PLEASURE WITH WHICH YOUR CONSCIENCE AND YOUR VERTEBRAL COLUMN REPROACH YOU AGAIN THE COURSE OF PUBLIC AFFAIRS
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_18	WE HAVE NEVER UNDERSTOOD THIS SORT OF OBJECTIONS
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_19	I THOUGHT IT THEREFORE MY DUTY WHEN I LEFT SCHOOL TO BECOME A GOVERNESS
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_20	TO DIMINISH THE NUMBER OF THE SHADY TO AUGMENT THE NUMBER OF THE LUMINOUS THAT IS THE OBJECT
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_21	IT TRULY IS ASSERTED THE MAGICIAN
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_22	IN A FEW MOMENTS HE HEARD THE CHERRIES DROPPING SMARTLY INTO THE PAIL AND HE BEGAN TO SWING HIS SCYTHE WITH THAT LONG EVEN STROKE THAT FEW AMERICAN BOYS EVER LEARN
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_23	THUS IDLENESS IS THE MOTHER
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_24	AT THE EMERALD CITY WHERE OUR PRINCESS OZMA LIVES GREEN IS THE POPULAR COLOR
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_25	BARTLEY STARTED WHEN HILDA RANG THE LITTLE BELL BESIDE HER DEAR ME WHY DID YOU DO THAT
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_26	FROM THE GRAVEYARD GATE ONE CAN COUNT A DOZEN GAYLY PAINTED FARMHOUSES THE GILDED WEATHER VANES ON THE BIG RED BARNS WINK AT EACH OTHER ACROSS THE GREEN AND BROWN AND YELLOW FIELDS
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_27	FRANK READ ENGLISH SLOWLY AND THE MORE HE READ ABOUT THIS DIVORCE CASE THE ANGRIER HE GREW
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_28	MY FRIEND DID NOT APPEAR TO BE DEPRESSED BY HIS FAILURE BUT SHRUGGED HIS SHOULDERS IN HALF HUMOROUS RESIGNATION
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_29	THE SUBJECT WAS A VERY NOBLE ONE HE DESCRIBED THE MOST FAMOUS ACTION IN WHICH THE ATHENIAN PEOPLE WERE EVER ENGAGED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_30	TO BURN WITHOUT CEASING TO FLY THEREIN LIES THE MARVEL OF GENIUS
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_31	THEY WERE ABSORBED IN HIS THEOLOGY AND WERE UNDER THE DOMINION OF HIS NAME WHILE THAT WHICH WAS TRULY GREAT AND TRULY CHARACTERISTIC IN HIM HIS EFFORT TO REALIZE AND CONNECT ABSTRACTIONS WAS NOT UNDERSTOOD BY THEM AT ALL
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_32	I HAVE A LETTER HERE MISTER SOAMES WHICH I WROTE TO YOU EARLY THIS MORNING IN THE MIDDLE OF A RESTLESS NIGHT
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_33	THE EDICT OF MILAN THE GREAT CHARTER OF TOLERATION HAD CONFIRMED TO EACH INDIVIDUAL OF THE ROMAN WORLD THE PRIVILEGE OF CHOOSING AND PROFESSING HIS OWN RELIGION
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_34	YES SIRE AND READY DRESSED FOR THE BALLET
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_35	PLEASE WAIT FOR ME MARIE EMIL COAXED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_36	THERE JUST IN FRONT
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_37	THE FIRST LOT WE TESTED ON OUR GLASS CAT WHICH NOT ONLY BEGAN TO LIVE BUT HAS LIVED EVER SINCE
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_38	A BED QUILT MADE OF PATCHES OF DIFFERENT KINDS AND COLORS OF CLOTH ALL NEATLY SEWED TOGETHER
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_39	I GOT IN ABOUT TEN MINUTES AGO
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_40	HE FELT A TREMOR RUN THROUGH THE SLENDER YELLOW FIGURE IN FRONT OF HIM
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_41	AND THEN WE INSIST UPON IT THE STUDY OF SOCIAL DEFORMITIES AND INFIRMITIES AND THE TASK OF POINTING THEM OUT WITH A VIEW TO REMEDY IS NOT A BUSINESS IN WHICH CHOICE IS PERMITTED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_42	SHE SAVES HER HAND TOO SHE'S AT HER BEST IN THE SECOND ACT
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_43	P S PRAY SIR EXCUSE ME FOR WRITING TO YOU A SECOND TIME I COULD NOT HELP WRITING PARTLY TO TELL YOU HOW THANKFUL I AM FOR YOUR KINDNESS AND PARTLY TO LET YOU KNOW THAT YOUR ADVICE SHALL NOT BE WASTED HOWEVER SORROWFULLY AND RELUCTANTLY IT MAY BE AT FIRST FOLLOWED C B
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_44	AND THEREFORE TO YOU I TURN TIMAEUS CITIZEN OF LOCRIS WHO ARE AT ONCE A PHILOSOPHER AND A STATESMAN AND TO YOU CRITIAS WHOM ALL ATHENIANS KNOW TO BE SIMILARLY ACCOMPLISHED AND TO HERMOCRATES WHO IS ALSO FITTED BY NATURE AND EDUCATION TO SHARE IN OUR DISCOURSE
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_45	SIR MARCH SIXTEENTH
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_46	IT IS PROBABLE THAT THE RELATION OF THE IDEAS TO GOD OR OF GOD TO THE WORLD WAS DIFFERENTLY CONCEIVED BY HIM AT DIFFERENT TIMES OF HIS LIFE
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_47	BY DEGREES ALL HIS HAPPINESS ALL HIS BRILLIANCY SUBSIDED INTO REGRET AND UNEASINESS SO THAT HIS LIMBS LOST THEIR POWER HIS ARMS HUNG HEAVILY BY HIS SIDES AND HIS HEAD DROOPED AS THOUGH HE WAS STUPEFIED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_48	HIS WIFE NOW LIES BESIDE HIM AND THE WHITE SHAFT THAT MARKS THEIR GRAVES GLEAMS ACROSS THE WHEAT FIELDS
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_49	I HAD TO READ IT OVER CAREFULLY AS THE TEXT MUST BE ABSOLUTELY CORRECT
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_50	HE DROPPED A HANDFUL INTO HER LAP
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_51	THE FANCIES OF THE NEO PLATONISTS ARE ONLY INTERESTING TO US BECAUSE THEY EXHIBIT A PHASE OF THE HUMAN MIND WHICH PREVAILED WIDELY IN THE FIRST CENTURIES OF THE CHRISTIAN ERA AND IS NOT WHOLLY EXTINCT IN OUR OWN DAY
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_52	THEY CONSTITUTE TWO DIFFERENT ORDERS OF FACTS WHICH CORRESPOND TO EACH OTHER WHICH ARE ALWAYS INTERLACED AND WHICH OFTEN BRING FORTH RESULTS
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_53	IT IS NECESSARY THEREFORE THAT HE SHOULD COMPLY THE KING FROWNED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_54	BUT HE HAS NOT AS YET DEFINED THIS INTERMEDIATE TERRITORY WHICH LIES SOMEWHERE BETWEEN MEDICINE AND MATHEMATICS AND HE WOULD HAVE FELT THAT THERE WAS AS GREAT AN IMPIETY IN RANKING THEORIES OF PHYSICS FIRST IN THE ORDER OF KNOWLEDGE AS IN PLACING THE BODY BEFORE THE SOUL
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_55	HE'S BEEN WANTING TO MARRY HILDA THESE THREE YEARS AND MORE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_0	THE YEARS OF THE DAYS OF HER DYING WERE TEN
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_1	THEY ARE BEYOND ALL OTHER WORKS THAT I KNOW EXISTING DEPENDENT FOR THEIR EFFECT ON LOW SUBDUED TONES THEIR FAVORITE CHOICE IN TIME OF DAY BEING EITHER DAWN OR TWILIGHT AND EVEN THEIR BRIGHTEST SUNSETS PRODUCED CHIEFLY OUT OF GRAY PAPER
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_2	THIS WAS AT THE MARCH ELECTION EIGHTEEN FIFTY FIVE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_3	I LEFT INSTRUCTIONS FOR SHIPPING MY CONTAINERS OF STUFFED ANIMALS AND DRIED PLANTS TO PARIS FRANCE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_4	WHEN THE BLUESKINS SAW GHIP GHISIZZLE THEY RAISED ANOTHER GREAT SHOUT FOR HE WAS THE FAVORITE OF THE SOLDIERS AND VERY POPULAR WITH ALL THE PEOPLE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_5	THANK YOU BUT I DON'T LIKE IT SO WELL AS THIS
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_6	THE INCIDENT WAS NOT VIOLENT NOR EVEN DRAMATIC NO POSSE WAS SUMMONED NO FURTHER EFFORT MADE AND REEDER FEARING PERSONAL VIOLENCE SOON FLED IN DISGUISE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_7	I WAS WELL SATISFIED WITH MY CABIN WHICH WAS LOCATED IN THE STERN AND OPENED INTO THE OFFICERS MESS
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_8	HUSSY WOMAN AND BOND TIE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_9	THE STORY'S WRITTEN
